x0,top,text,size,fontname
407.2,125.7,P,10.0,BCDFEE+ArialMT
413.7,125.7,o,10.0,BCDFEE+ArialMT
419.0,125.7,w,10.0,BCDFEE+ArialMT
426.0,125.7,e,10.0,BCDFEE+ArialMT
431.2,125.7,r,10.0,BCDFEE+ArialMT
434.4,125.7,P,10.0,BCDFEE+ArialMT
440.8,125.7,o,10.0,BCDFEE+ArialMT
446.1,125.7,i,10.0,BCDFEE+ArialMT
448.0,125.7,n,10.0,BCDFEE+ArialMT
453.3,125.7,t,10.0,BCDFEE+ArialMT
456.0,125.7, ,10.0,BCDFEE+ArialMT
35.0,140.1,S,10.0,BCDEEE+Arial-BoldMT
41.6,140.1,o,10.0,BCDEEE+Arial-BoldMT
47.7,140.1,f,10.0,BCDEEE+Arial-BoldMT
51.1,140.1,t,10.0,BCDEEE+Arial-BoldMT
54.4,140.1, ,10.0,BCDEEE+Arial-BoldMT
57.3,140.1,S,10.0,BCDEEE+Arial-BoldMT
63.7,140.1,k,10.0,BCDEEE+Arial-BoldMT
69.3,140.1,i,10.0,BCDEEE+Arial-BoldMT
71.9,140.1,l,10.0,BCDEEE+Arial-BoldMT
74.5,140.1,l,10.0,BCDEEE+Arial-BoldMT
77.3,140.1,s,10.0,BCDEEE+Arial-BoldMT
82.7,140.1,:,10.0,BCDFEE+ArialMT
85.5,140.1, ,10.0,BCDFEE+ArialMT
139.8,140.1,T,10.0,BCDFEE+ArialMT
145.9,140.1,e,10.0,BCDFEE+ArialMT
151.5,140.1,a,10.0,BCDFEE+ArialMT
157.0,140.1,m,10.0,BCDFEE+ArialMT
165.3,140.1,w,10.0,BCDFEE+ArialMT
172.5,140.1,o,10.0,BCDFEE+ArialMT
178.1,140.1,r,10.0,BCDFEE+ArialMT
181.4,140.1,k,10.0,BCDFEE+ArialMT
186.5,140.1,",",10.0,BCDFEE+ArialMT
189.3,140.1, ,10.0,BCDFEE+ArialMT
191.6,140.1,R,10.0,BCDFEE+ArialMT
198.8,140.1,a,10.0,BCDFEE+ArialMT
204.3,140.1,p,10.0,BCDFEE+ArialMT
209.9,140.1,p,10.0,BCDFEE+ArialMT
215.5,140.1,o,10.0,BCDFEE+ArialMT
221.0,140.1,r,10.0,BCDFEE+ArialMT
224.3,140.1,t,10.0,BCDFEE+ArialMT
227.1,140.1, ,10.0,BCDFEE+ArialMT
229.5,140.1,B,10.0,BCDFEE+ArialMT
236.1,140.1,u,10.0,BCDFEE+ArialMT
241.6,140.1,i,10.0,BCDFEE+ArialMT
243.9,140.1,l,10.0,BCDFEE+ArialMT
246.0,140.1,d,10.0,BCDFEE+ArialMT
251.7,140.1,i,10.0,BCDFEE+ArialMT
253.8,140.1,n,10.0,BCDFEE+ArialMT
259.5,140.1,g,10.0,BCDFEE+ArialMT
265.0,140.1,",",10.0,BCDFEE+ArialMT
267.8,140.1, ,10.0,BCDFEE+ArialMT
270.2,140.1,C,10.0,BCDFEE+ArialMT
277.4,140.1,o,10.0,BCDFEE+ArialMT
282.9,140.1,l,10.0,BCDFEE+ArialMT
285.2,140.1,l,10.0,BCDFEE+ArialMT
287.3,140.1,a,10.0,BCDFEE+ArialMT
292.9,140.1,b,10.0,BCDFEE+ArialMT
298.5,140.1,o,10.0,BCDFEE+ArialMT
304.0,140.1,r,10.0,BCDFEE+ArialMT
307.3,140.1,a,10.0,BCDFEE+ArialMT
312.9,140.1,t,10.0,BCDFEE+ArialMT
315.7,140.1,i,10.0,BCDFEE+ArialMT
317.9,140.1,o,10.0,BCDFEE+ArialMT
323.4,140.1,n,10.0,BCDFEE+ArialMT
329.1,140.1, ,10.0,BCDFEE+ArialMT
331.4,140.1,a,10.0,BCDFEE+ArialMT
337.0,140.1,n,10.0,BCDFEE+ArialMT
342.6,140.1,d,10.0,BCDFEE+ArialMT
348.1,140.1, ,10.0,BCDFEE+ArialMT
350.7,140.1,A,10.0,BCDFEE+ArialMT
357.3,140.1,c,10.0,BCDFEE+ArialMT
362.3,140.1,t,10.0,BCDFEE+ArialMT
365.1,140.1,i,10.0,BCDFEE+ArialMT
367.3,140.1,v,10.0,BCDFEE+ArialMT
372.3,140.1,e,10.0,BCDFEE+ArialMT
377.9,140.1, ,10.0,BCDFEE+ArialMT
380.2,140.1,l,10.0,BCDFEE+ArialMT
382.3,140.1,i,10.0,BCDFEE+ArialMT
384.3,140.1,s,10.0,BCDFEE+ArialMT
389.3,140.1,t,10.0,BCDFEE+ArialMT
392.0,140.1,e,10.0,BCDFEE+ArialMT
397.5,140.1,n,10.0,BCDFEE+ArialMT
402.9,140.1,i,10.0,BCDFEE+ArialMT
405.1,140.1,n,10.0,BCDFEE+ArialMT
410.5,140.1,g,10.0,BCDFEE+ArialMT
416.0,140.1,",",10.0,BCDFEE+ArialMT
418.7,140.1, ,10.0,BCDFEE+ArialMT
421.4,140.1,A,10.0,BCDFEE+ArialMT
427.9,140.1,d,10.0,BCDFEE+ArialMT
433.4,140.1,a,10.0,BCDFEE+ArialMT
438.8,140.1,p,10.0,BCDFEE+ArialMT
444.4,140.1,t,10.0,BCDFEE+ArialMT
447.0,140.1,i,10.0,BCDFEE+ArialMT
449.1,140.1,b,10.0,BCDFEE+ArialMT
454.5,140.1,i,10.0,BCDFEE+ArialMT
